Job Title,Job Address,Job Link
"Data Scientist, Product & Programs","United States
1 month ago",https://www.linkedin.com/jobs/view/data-scientist-product-programs-at-genesis-therapeutics-3923621095?position=20&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=GIayp9MX10JlyX87is8PFQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Data Scientist, Decisions SOT","New York, NY
Actively Hiring
11 hours ago",https://www.linkedin.com/jobs/view/data-scientist-decisions-sot-at-lyft-3933223931?position=21&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=HddM89JaUbfQEGry4h2vGg%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"New York, United States
Actively Hiring
4 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-stripe-3934929275?position=22&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=Qu75evNSO8%2F3cJ2aiHOxHg%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Data Scientist,"United States
Actively Hiring +4 benefits
19 hours ago",https://www.linkedin.com/jobs/view/junior-data-scientist-at-matlen-silver-3936744023?position=23&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=BOnD%2F%2FUjOhXGMOLh2sYmLA%3D%3D&trk=public_jobs_jserp-result_search-card
"Data Scientist, Decisions - Growth Platform","San Francisco County, CA
Actively Hiring
1 week ago",https://www.linkedin.com/jobs/view/data-scientist-decisions-growth-platform-at-lyft-3926836999?position=24&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=mB34ADK8w%2BtFZmOFnFm9QQ%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Utica-Rome Area
4 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-dc-department-of-human-resources-3931679769?position=25&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=Zzm8fGP3RWpBhP1bH%2BtyGg%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"St Louis, MO
Actively Hiring
6 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-steneral-consulting-3931194790?position=26&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=pYJFYrCc9hmSaoCk6eOoRQ%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"New York, United States
6 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-berkley-hunt-3932436940?position=27&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=8zoCWChEmNJBdCPNLVHc%2Fg%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Dallas, TX
Actively Hiring
1 week ago",https://www.linkedin.com/jobs/view/data-scientist-at-ascendion-3922467097?position=28&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=6W53NV%2FfjOEhuj%2B6Vf91oQ%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Texas, United States
Be an early applicant
3 hours ago",https://www.linkedin.com/jobs/view/data-scientist-at-kovan-technology-solutions-3936973459?position=29&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=oUYQdZvxL%2FE8lryEmDld4A%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Reston, VA
1 day ago",https://www.linkedin.com/jobs/view/data-scientist-at-elder-research-3935680808?position=30&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=npqMqcCPMf%2F8DAjjMsSwVA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"SeaTac, WA
Actively Hiring
1 week ago",https://www.linkedin.com/jobs/view/data-scientist-at-ascendion-3927131381?position=31&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=pZ7Vn18n6shXOHVtiImonQ%3D%3D&trk=public_jobs_jserp-result_search-card
AI/ML engineer,"Tampa, FL
Actively Hiring
15 hours ago",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-syntricate-technologies-3937030840?position=32&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=nsTrLs8Ba6RPMts0NBAdvQ%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Herndon, VA
17 hours ago",https://www.linkedin.com/jobs/view/data-scientist-at-kda-consulting-inc-3936888609?position=33&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=C7LS%2BOGx7c9HzEwxrwPjrw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Greensboro, NC
Actively Hiring
4 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-volvo-group-3931611090?position=34&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=PYnV%2FWOCLP1dMdhSE%2FY%2B6w%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Waltham, MA
Actively Hiring
4 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-scipher-medicine-3931672933?position=35&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=Qkr%2BiDTm3hAfFqdgeKnD1w%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist (Fully Remote),"Downey, CA
Actively Hiring
6 days ago",https://www.linkedin.com/jobs/view/data-scientist-fully-remote-at-inspyr-solutions-3931829368?position=36&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=o%2BuAO7vrxRAfoLpdwAzbIg%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Redmond, WA
Actively Hiring
4 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-microsoft-3933004023?position=37&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=Lz3oToar%2BW88a3soB9BIfg%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist - All Levels,"Annapolis Junction, MD
Be an early applicant
6 days ago",https://www.linkedin.com/jobs/view/data-scientist-all-levels-at-interclypse-3931891953?position=38&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=gTO7I4O8AHeKNHV5MEiH7g%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Austin, TX
Actively Hiring
1 week ago",https://www.linkedin.com/jobs/view/data-scientist-at-modo-energy-3930918565?position=39&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=nYIBfCs0aT7WQpjhby%2F6TQ%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Tampa, FL
7 months ago",https://www.linkedin.com/jobs/view/data-scientist-at-global-dimensions-llc-3739543379?position=40&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=YgLPYjKu8iLlmItCsXl1uw%3D%3D&trk=public_jobs_jserp-result_search-card
"Data Scientist, Human Data","San Francisco, CA
Actively Hiring
13 hours ago",https://www.linkedin.com/jobs/view/data-scientist-human-data-at-openai-3937072368?position=41&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=R7Sk%2BiJY%2FEswvHRPeslOOw%3D%3D&trk=public_jobs_jserp-result_search-card
Jr Trading Data Scientist,"Houston, TX
Actively Hiring
5 days ago",https://www.linkedin.com/jobs/view/jr-trading-data-scientist-at-totalenergies-3934209269?position=42&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=jpW%2FVdLovtEK09lZzcSX9g%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Seattle, WA
2 weeks ago",https://www.linkedin.com/jobs/view/data-scientist-at-strella-3921696291?position=43&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=URRE%2B5kSmN83OcayYqvFnA%3D%3D&trk=public_jobs_jserp-result_search-card
John Snow Labs Healthcare Data Scientist,"United States
1 day ago",https://www.linkedin.com/jobs/view/john-snow-labs-healthcare-data-scientist-at-john-snow-labs-3936802724?position=44&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=Adnytf2PF8MvrljczD%2BMIQ%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Woodlawn, MD
2 weeks ago",https://www.linkedin.com/jobs/view/data-scientist-at-zenius-corporation-3925281891?position=45&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=ExgY5AEwCDN2pOl%2BvcW4iA%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Data Scientist - Remote,"Seattle, WA
Be an early applicant
15 hours ago",https://www.linkedin.com/jobs/view/junior-data-scientist-remote-at-synergisticit-3937032592?position=46&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=5tZWStbVWpBJGuSyPy%2ByOg%3D%3D&trk=public_jobs_jserp-result_search-card
